Name,Industry,Type,Phone,Website,BillingCity,BillingCountry,NumberOfEmployees,AnnualRevenue,Description,ParentId,id,Engagement_Model__c,Primary_Offering__c,Region__c,Customer_Segment__c,SaaS_Tier__c,Services_Line__c,Parent_Relationship_Type__c
Baxter Ltd Data Cloud,Finance,Customer,+1-604-475-7363,http://spencer.com/,North Candicefurt,Malaysia,435,52442597,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,33,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
Lucero-Parrish Data Cloud,Healthcare,Customer,422-686-4828x279,https://serrano-browning.com/,East John,Thailand,241,94593543,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,34,SaaS Only,SaaS,APAC,SME,Enterprise,None,Standalone
"Yates, Li and Chase Data Cloud",Telecommunications,Customer,(622)838-8618x408,https://www.daniels.com/,Watkinsfort,Malaysia,63,94683564,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,35,SaaS Only,SaaS,APAC,Developer Team,Business,None,Standalone
"Keller, Perez and Harper Data Cloud",Manufacturing,Customer,001-770-750-6543x06547,http://carrillo-hebert.com/,Andrewsberg,Indonesia,1537,59345026,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,36,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Anthony, Barajas and Decker Analytics Program",Manufacturing,Customer,586.279.8135x3062,http://wolf.info/,New Jill,Indonesia,7099,112769279,APAC customer; services-only (strategy/platform/migration/managed services).,,37,Services Only,Services,APAC,Enterprise,None,Data Strategy & Consultancy,Standalone
"Lucas, Gould and Chavez Analytics Program",Manufacturing,Customer,(802)962-3386,http://www.villarreal.info/,North Carl,Philippines,11625,61213298,APAC customer; services-only (strategy/platform/migration/managed services).,,38,Services Only,Services,APAC,Enterprise,None,End-to-End Data Platform,Standalone
Rhodes-Patton Analytics Program,Finance,Customer,219-904-4556,https://cunningham.com/,North Jefferymouth,Philippines,751,283152742,APAC customer; services-only (strategy/platform/migration/managed services).,,39,Services Only,Services,APAC,SME,None,Cloud Migration,Standalone
Ward and Sons Analytics Program,Retail,Customer,4972734017,https://www.orozco.info/,South Andres,Philippines,8077,315460264,APAC customer; services-only (strategy/platform/migration/managed services).,,40,Services Only,Services,APAC,Enterprise,None,Data Strategy & Consultancy,Standalone
"Neal, Calhoun and Vazquez Analytics Program",Transportation,Customer,(715)960-5870x60388,http://white-forbes.com/,Kiaramouth,Malaysia,135,336262511,APAC customer; services-only (strategy/platform/migration/managed services).,,41,Services Only,Services,APAC,Developer Team,None,Data Strategy & Consultancy,Standalone
Arias PLC Analytics Program,Telecommunications,Customer,(251)244-4621x875,http://www.wilkerson-duncan.com/,East Ricardoside,Singapore,7569,10423200,APAC customer; services-only (strategy/platform/migration/managed services).,,42,Services Only,Services,APAC,Enterprise,None,Data Strategy & Consultancy,Standalone
Carpenter Ltd Analytics Program,Manufacturing,Customer,001-787-721-6445x00673,http://www.blanchard.com/,Kristitown,Vietnam,7498,99794741,APAC customer; services-only (strategy/platform/migration/managed services).,,43,Services Only,Services,APAC,Enterprise,None,End-to-End Data Platform,Standalone
"Bautista, Marquez and Pugh Analytics Program",Telecommunications,Customer,+1-396-758-8989x165,http://bates-miranda.biz/,Boltonstad,Malaysia,5930,212271017,APAC customer; services-only (strategy/platform/migration/managed services).,,44,Services Only,Services,APAC,Enterprise,None,Cloud Migration,Standalone
Bender Group Analytics Program,Telecommunications,Customer,+1-369-446-2896x731,http://valencia.com/,Randallberg,Indonesia,915,156868400,APAC customer; services-only (strategy/platform/migration/managed services).,,45,Services Only,Services,APAC,SME,None,Cloud Migration,Standalone
Nixon Group Analytics Program,Finance,Customer,+1-996-962-7718x05717,http://www.washington.com/,Petersontown,Philippines,9867,7392202,APAC customer; services-only (strategy/platform/migration/managed services).,,46,Services Only,Services,APAC,Enterprise,None,Managed Data Platform,Standalone
Petersen Ltd Analytics Program,Transportation,Customer,001-637-303-9931x1931,https://www.best.com/,North Charlesberg,Thailand,10162,29793486,APAC customer; services-only (strategy/platform/migration/managed services).,,47,Services Only,Services,APAC,Enterprise,None,Data Strategy & Consultancy,Standalone
Horton-Alexander Analytics Program,Retail,Customer,944-206-1363,https://hinton.com/,South Patty,Malaysia,6238,15986423,APAC customer; services-only (strategy/platform/migration/managed services).,,48,Services Only,Services,APAC,Enterprise,None,Managed Data Platform,Standalone
Blanchard-Lawson Analytics Program,Retail,Customer,001-465-628-2777x29863,http://www.weiss.info/,North Monique,Malaysia,8626,154657402,APAC customer; services-only (strategy/platform/migration/managed services).,,49,Services Only,Services,APAC,Enterprise,None,End-to-End Data Platform,Standalone
Bernard-Rivas Analytics Program,Government,Customer,948-253-7334,http://stuart.info/,Curtisport,Vietnam,8742,165724968,APAC customer; services-only (strategy/platform/migration/managed services).,,50,Services Only,Services,APAC,Enterprise,None,Managed Data Platform,Standalone
Blanchard Ltd Analytics Program,Retail,Customer,(258)561-8315x0435,http://floyd.com/,Gibsonfort,Thailand,6631,188455900,APAC customer; services-only (strategy/platform/migration/managed services).,,51,Services Only,Services,APAC,Enterprise,None,End-to-End Data Platform,Standalone
Mccoy-Patel Analytics Program,Transportation,Customer,2999227220,http://villa.com/,Hobbschester,Indonesia,4530,285637645,APAC customer; services-only (strategy/platform/migration/managed services).,,52,Services Only,Services,APAC,SME,None,End-to-End Data Platform,Standalone
Rosales-Joyce Analytics Program,Government,Customer,+1-632-740-7141x40030,https://herman.com/,Lake Emily,Philippines,8708,455918338,APAC customer; services-only (strategy/platform/migration/managed services).,,53,Services Only,Services,APAC,Enterprise,None,Data Strategy & Consultancy,Standalone
Ware Group Analytics Program,Manufacturing,Customer,355.961.4638x306,http://grimes.info/,Mccoystad,Thailand,982,131476189,APAC customer; services-only (strategy/platform/migration/managed services).,,54,Services Only,Services,APAC,SME,None,Managed Data Platform,Standalone
"Robbins, Lowe and Goodwin Analytics Program",Government,Customer,(299)807-1444x8183,https://www.hodges-stephenson.info/,Walterborough,Philippines,8475,350403633,APAC customer; services-only (strategy/platform/migration/managed services).,,55,Services Only,Services,APAC,Enterprise,None,Managed Data Platform,Standalone
Johns-Fletcher Analytics Program,Transportation,Customer,+1-633-925-1660x7241,http://lawson.com/,North Yvonneborough,Thailand,2951,401079570,APAC customer; services-only (strategy/platform/migration/managed services).,,56,Services Only,Services,APAC,SME,None,Cloud Migration,Standalone
Cantrell and Sons Analytics Program,Retail,Customer,332-918-2147x4948,http://christian.com/,East Tomview,Malaysia,5721,136020183,APAC customer; services-only (strategy/platform/migration/managed services).,,57,Services Only,Services,APAC,Enterprise,None,End-to-End Data Platform,Standalone
Villa Group Analytics Program,Government,Customer,3366353098,https://www.peters-haney.net/,Port Aliciaberg,Malaysia,4149,440519488,APAC customer; services-only (strategy/platform/migration/managed services).,,58,Services Only,Services,APAC,SME,None,Cloud Migration,Standalone
Allen-Barton Analytics Program,Transportation,Customer,001-589-306-5618,https://www.herrera.info/,Staceyberg,Singapore,9414,134830403,APAC customer; services-only (strategy/platform/migration/managed services).,,59,Services Only,Services,APAC,Enterprise,None,Cloud Migration,Standalone
Guzman-Woodward Analytics Program,Finance,Customer,372.754.9294x1939,http://gillespie.com/,South Isaiah,Thailand,463,348634572,APAC customer; services-only (strategy/platform/migration/managed services).,,60,Services Only,Services,APAC,SME,None,End-to-End Data Platform,Standalone
Hodge Ltd Analytics Program,Transportation,Customer,(777)398-8444x0972,http://velez.com/,Zunigaborough,Malaysia,1306,139459562,APAC customer; services-only (strategy/platform/migration/managed services).,,61,Services Only,Services,APAC,SME,None,Cloud Migration,Standalone
Tanner Inc Analytics Program,Manufacturing,Customer,+1-317-667-9525x4982,https://goodwin.com/,Kathleentown,Vietnam,10282,71792695,APAC customer; services-only (strategy/platform/migration/managed services).,,62,Services Only,Services,APAC,Enterprise,None,Cloud Migration,Standalone
Fleming-Chen Analytics Program,Transportation,Customer,+1-906-519-3658x1063,https://www.hobbs.com/,Port Stacy,Singapore,7732,367627587,APAC customer; services-only (strategy/platform/migration/managed services).,,63,Services Only,Services,APAC,Enterprise,None,End-to-End Data Platform,Standalone
"Alvarado, Nichols and Payne Analytics Program",Telecommunications,Customer,(262)509-6810x52110,https://www.kelly.biz/,Port Jackie,Malaysia,2606,76686500,APAC customer; services-only (strategy/platform/migration/managed services).,,64,Services Only,Services,APAC,SME,None,Cloud Migration,Standalone
"Stephenson, Harrington and Wilkins Analytics Program",Retail,Customer,5592485057,http://donaldson.biz/,Port Arielville,Malaysia,4830,460391451,APAC customer; services-only (strategy/platform/migration/managed services).,,65,Services Only,Services,APAC,SME,None,End-to-End Data Platform,Standalone
Hardy-Whitehead Analytics Program,Transportation,Customer,885-429-2057x901,https://dalton.com/,South Russell,Philippines,1557,415584414,APAC customer; services-only (strategy/platform/migration/managed services).,,66,Services Only,Services,APAC,SME,None,Data Strategy & Consultancy,Standalone
"Burton, Powell and Woodard Group",Finance,Customer,+1-396-711-5406x95601,https://singh.com/,South Ricardostad,Singapore,16901,99497016,APAC customer; hybrid (services + SaaS).,,67,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Managed Data Platform,Standalone
Moran-Merritt Group,Telecommunications,Customer,(920)644-4298x8266,https://french.biz/,New Rileyborough,Philippines,20821,266927390,APAC customer; hybrid (services + SaaS).,,68,Hybrid,Hybrid,APAC,Enterprise,Business,Managed Data Platform,Standalone
"Dennis, Roman and Kent Group",Finance,Customer,001-770-787-7709x69131,https://curtis.biz/,Salasborough,Vietnam,19315,457048046,APAC customer; hybrid (services + SaaS).,,69,Hybrid,Hybrid,APAC,Enterprise,Team,Managed Data Platform,Standalone
"Riley, Lynch and Mcfarland Group",Retail,Customer,(988)909-8497x23821,http://www.gross.net/,West Cole,Vietnam,1067,639591638,APAC customer; hybrid (services + SaaS).,,70,Hybrid,Hybrid,APAC,SME,Enterprise,Managed Data Platform,Standalone
Young-Shepherd Group,Energy,Customer,001-711-663-5888x361,https://joseph-brady.com/,Ochoatown,Vietnam,14700,182317788,APAC customer; hybrid (services + SaaS).,,71,Hybrid,Hybrid,APAC,Enterprise,Business,Managed Data Platform,Standalone
Velasquez-Gray Group,Retail,Customer,+1-782-209-5035x3960,https://www.velez.net/,Brennanmouth,Malaysia,23608,835626122,APAC customer; hybrid (services + SaaS).,,72,Hybrid,Hybrid,APAC,Enterprise,Business,Data Strategy & Consultancy,Standalone
Kaufman-Gallagher Group,Retail,Customer,326.637.4284x25326,http://tyler-hoffman.com/,North Tim,Vietnam,16142,535037084,APAC customer; hybrid (services + SaaS).,,73,Hybrid,Hybrid,APAC,Enterprise,Business,Managed Data Platform,Standalone
Duncan-Mcpherson Group,Energy,Customer,262-671-2114,http://burnett.com/,Caitlynhaven,Philippines,8008,519191769,APAC customer; hybrid (services + SaaS).,,74,Hybrid,Hybrid,APAC,Enterprise,Team,Cloud Migration,Standalone
Turner-Goodman Group,Technology,Customer,+1-266-281-9153,http://www.hanna.com/,Hudsontown,Vietnam,8101,581623009,APAC customer; hybrid (services + SaaS).,,75,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Cloud Migration,Standalone
Mckinney LLC Group,Energy,Customer,529.532.8472x394,http://www.beard.com/,Melindaside,Indonesia,23683,485857991,APAC customer; hybrid (services + SaaS).,,76,Hybrid,Hybrid,APAC,Enterprise,Team,Cloud Migration,Standalone
Benson LLC Group,Finance,Customer,533.249.8485x414,https://www.burgess-rice.biz/,Johnnybury,Philippines,21893,660198389,APAC customer; hybrid (services + SaaS).,,77,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Managed Data Platform,Standalone
Ware-Luna Group,Retail,Customer,2246800336,https://james.net/,New Todd,Malaysia,2403,261556632,APAC customer; hybrid (services + SaaS).,,78,Hybrid,Hybrid,APAC,SME,Team,Data Strategy & Consultancy,Standalone
Holland LLC Group,Retail,Customer,6412684883,http://jarvis.com/,North Billport,Thailand,19403,333345306,APAC customer; hybrid (services + SaaS).,,79,Hybrid,Hybrid,APAC,Enterprise,Team,Data Strategy & Consultancy,Standalone
Howell Inc Group,Finance,Customer,001-894-745-9848,https://branch.com/,Malonemouth,Thailand,11577,881224344,APAC customer; hybrid (services + SaaS).,,80,Hybrid,Hybrid,APAC,Enterprise,Team,Data Strategy & Consultancy,Standalone
Mcdaniel Inc Group,Energy,Customer,(233)303-4841x989,https://freeman-haynes.com/,North Ericachester,Philippines,10837,707825900,APAC customer; hybrid (services + SaaS).,,81,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Managed Data Platform,Standalone
Buchanan LLC Group,Finance,Customer,636.416.7645,http://www.pruitt.com/,Maryberg,Vietnam,12929,887032851,APAC customer; hybrid (services + SaaS).,,82,Hybrid,Hybrid,APAC,Enterprise,Business,End-to-End Data Platform,Standalone
"Booth, Carney and Sampson Group",Finance,Customer,999.505.9000x51328,https://park-gonzalez.com/,New Laurieburgh,Thailand,13352,195898006,APAC customer; hybrid (services + SaaS).,,83,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Cloud Migration,Standalone
"Dixon, Moon and Vaughan Group",Telecommunications,Customer,001-930-832-7443x40052,http://www.sweeney.biz/,Port Crystalville,Vietnam,16555,676177601,APAC customer; hybrid (services + SaaS).,,84,Hybrid,Hybrid,APAC,Enterprise,Team,End-to-End Data Platform,Standalone
Guerrero-Fitzpatrick Group,Retail,Customer,272-976-5257,http://www.price.net/,Adamston,Singapore,20288,813111019,APAC customer; hybrid (services + SaaS).,,85,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Data Strategy & Consultancy,Standalone
Brock Ltd Group,Finance,Customer,326-327-2322,http://www.hansen.com/,Leachview,Thailand,6103,748650089,APAC customer; hybrid (services + SaaS).,,86,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Data Strategy & Consultancy,Standalone
"Armstrong, Dorsey and Johns Group",Energy,Customer,957.276.2198x5629,https://shea.net/,Orozcofort,Indonesia,13577,626677386,APAC customer; hybrid (services + SaaS).,,87,Hybrid,Hybrid,APAC,Enterprise,Enterprise,End-to-End Data Platform,Standalone
Patterson-Bridges Group,Retail,Customer,799-513-3356x95278,https://www.moreno-scott.com/,Kempborough,Thailand,10586,870800951,APAC customer; hybrid (services + SaaS).,,88,Hybrid,Hybrid,APAC,Enterprise,Enterprise,Cloud Migration,Standalone
Aguilar Inc Group,Technology,Customer,566-248-2860x014,http://www.harrell-roman.com/,Gloriaside,Thailand,13258,999286963,APAC customer; hybrid (services + SaaS).,,89,Hybrid,Hybrid,APAC,Enterprise,Team,End-to-End Data Platform,Standalone
"Barrera, Robinson and Ayers Group",Finance,Customer,503-252-5005,https://www.osborne.com/,Laurieside,Thailand,19860,335215767,APAC customer; hybrid (services + SaaS).,,90,Hybrid,Hybrid,APAC,Enterprise,Business,Data Strategy & Consultancy,Standalone
Rangel LLC Labs,Technology,Customer,264.781.4862,https://www.raymond.com/,Mccoyland,United States,3577,197233922,US customer; SaaS-only (self-serve or team expansion).,,91,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
Brewer Ltd Labs,Healthcare,Customer,2172570660,http://www.booker.com/,Lake Makayla,United States,218,66124259,US customer; SaaS-only (self-serve or team expansion).,,92,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
"Bush, Benson and Bradley Labs",Retail,Customer,3643046841,https://fletcher-cordova.com/,Claudiahaven,United States,3430,101420434,US customer; SaaS-only (self-serve or team expansion).,,93,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
"Carter, Bender and Gaines Labs",Technology,Customer,+1-770-937-8978x3312,https://farley.com/,Ryanberg,United States,3355,18147519,US customer; SaaS-only (self-serve or team expansion).,,94,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
Petty LLC Labs,Technology,Customer,678-541-8028,http://www.hunt.com/,Lake Brittney,United States,797,50462350,US customer; SaaS-only (self-serve or team expansion).,,95,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
Dillon Group Labs,Finance,Customer,+1-777-689-4065x2813,http://www.harvey-bradley.com/,Lake Melinda,United States,4393,121945139,US customer; SaaS-only (self-serve or team expansion).,,96,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
"Hamilton, Calhoun and Rogers Labs",Healthcare,Customer,(477)979-9557x2011,https://beltran.com/,Kristinechester,United States,1713,240458811,US customer; SaaS-only (self-serve or team expansion).,,97,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
"Christensen, Atkinson and Mcgee Labs",Finance,Customer,607-405-8912,http://www.foster-holder.com/,Janetmouth,United States,1698,133686315,US customer; SaaS-only (self-serve or team expansion).,,98,Hybrid,Hybrid,US,SME,Business,End-to-End Data Platform,Standalone
Moyer-Nicholson Labs,Healthcare,Customer,241.820.7513x7506,http://www.petty-hanson.com/,West Joshua,United States,130,251094645,US customer; SaaS-only (self-serve or team expansion).,,99,Hybrid,Hybrid,US,Developer Team,Business,End-to-End Data Platform,Standalone
Campos-Hutchinson Labs,Finance,Customer,(491)791-9978x49122,https://schroeder.com/,North Samantha,United States,145,87933106,US customer; SaaS-only (self-serve or team expansion).,,100,Hybrid,Hybrid,US,Developer Team,Business,End-to-End Data Platform,Standalone
Duncan LLC Holdings,Finance,Customer,278-964-3835x305,https://trevino.biz/,Walshtown,Malaysia,29471,405033277,APAC parent account; services-first relationship.,,101,Services-first Parent,Services,APAC,Enterprise,Business,Data Strategy & Consultancy,Parent
Gilmore PLC Holdings,Manufacturing,Customer,542.877.9559,https://castaneda-blackwell.com/,Gibsonmouth,Malaysia,6984,1385105840,APAC parent account; services-first relationship.,,102,Services-first Parent,Services,APAC,Enterprise,None,Data Strategy & Consultancy,Parent
Thomas-Yang Holdings,Manufacturing,Customer,700-811-4665x8528,https://www.phillips.biz/,Lake Melodyfort,Vietnam,6306,567677611,APAC parent account; services-first relationship.,,103,Services-first Parent,Services,APAC,Enterprise,Business,Data Strategy & Consultancy,Parent
Waller Inc Holdings,Retail,Customer,(768)972-3284,https://www.singh-walters.net/,Anitafurt,Malaysia,13716,592653816,APAC parent account; services-first relationship.,,104,Services-first Parent,Services,APAC,Enterprise,None,Managed Data Platform,Parent
Haney-Phelps Holdings,Finance,Customer,001-626-231-8861x43552,https://www.richard.com/,Riversburgh,Malaysia,10390,805374243,APAC parent account; services-first relationship.,,105,Services-first Parent,Services,APAC,Enterprise,Business,Data Strategy & Consultancy,Parent
Boyle-Cain Holdings,Manufacturing,Customer,8275650545,https://sanders-cowan.info/,Port Phyllis,Indonesia,3736,1275255512,APAC parent account; services-first relationship.,,106,Services-first Parent,Services,APAC,SME,None,End-to-End Data Platform,Parent
Baxter-Johnston Holdings,Retail,Customer,735-867-2137,https://www.howard.org/,East Grace,Indonesia,18886,542589412,APAC parent account; services-first relationship.,,107,Services-first Parent,Services,APAC,Enterprise,Business,End-to-End Data Platform,Parent
Mullen and Sons Holdings,Retail,Customer,689-334-4730,https://www.lowe.biz/,Joville,Singapore,12448,2266742469,APAC parent account; services-first relationship.,,108,Services-first Parent,Services,APAC,Enterprise,Business,Cloud Migration,Parent
