Name,StageName,Amount,CloseDate,LeadSource,Description,AccountId,id,Offering_Type__c,Sales_Motion__c,Cross_Sell_From__c,Contract_Model__c,Expected_ARR__c,Implementation_Months__c,Data_Volume_Tier__c,Usage_Pricing_Model__c
Enable E-Business Niches - SaaS Evaluation,Prospecting,99636,2026-09-28,Web,New SaaS pipeline from APAC digital teams.,27,12,SaaS New Logo,Outbound,None,Subscription,83065.67,1,Medium,Pipeline Count
Incentivize Dot-Com Portals - SaaS Evaluation,Prospecting,136218,2026-03-21,Other,New SaaS pipeline from APAC digital teams.,12,13,SaaS New Logo,Inbound,None,Subscription,148174.43,3,Medium,Metadata Scale
Incubate Integrated Roi - SaaS Evaluation,Prospecting,65621,2026-06-25,Web,New SaaS pipeline from APAC digital teams.,11,14,SaaS New Logo,Outbound,None,Subscription,61487.23,3,Low,Metadata Scale
Transition Granular Action-Items - SaaS Evaluation,Prospecting,67949,2026-06-03,Other,New SaaS pipeline from APAC digital teams.,29,15,SaaS New Logo,Partner-led,None,Subscription,53886.91,4,Low,Pipeline Count
Deliver Mission-Critical Users - SaaS Evaluation,Prospecting,121012,2026-04-28,Web,New SaaS pipeline from APAC digital teams.,31,16,SaaS New Logo,Outbound,None,Subscription,126238.26,2,Medium,Hybrid Usage
Target Bleeding-Edge Networks - SaaS Evaluation,Prospecting,136391,2026-05-24,Other,New SaaS pipeline from APAC digital teams.,11,17,SaaS New Logo,Inbound,None,Subscription,155084.19,3,Medium,Hybrid Usage
Optimize Dot-Com Schemas - SaaS Evaluation,Prospecting,126282,2026-03-20,Partner Referral,New SaaS pipeline from APAC digital teams.,5,18,SaaS New Logo,Outbound,None,Subscription,114561.38,2,Medium,Hybrid Usage
Whiteboard Frictionless E-Commerce - SaaS Evaluation,Prospecting,100056,2026-07-19,Partner Referral,New SaaS pipeline from APAC digital teams.,27,19,SaaS New Logo,Partner-led,None,Subscription,114218.65,3,Medium,Metadata Scale
Morph Transparent Relationships - SaaS Evaluation,Prospecting,64798,2026-06-10,Web,New SaaS pipeline from APAC digital teams.,19,20,SaaS New Logo,Inbound,None,Subscription,69549.00,3,Low,Pipeline Count
Aggregate Killer Synergies - SaaS Evaluation,Prospecting,91520,2026-06-08,Partner Referral,New SaaS pipeline from APAC digital teams.,1,21,SaaS New Logo,Partner-led,None,Subscription,75934.77,1,Medium,Pipeline Count
Synthesize Intuitive Bandwidth - SaaS Evaluation,Prospecting,95352,2026-09-29,Other,New SaaS pipeline from APAC digital teams.,34,22,SaaS New Logo,Inbound,None,Subscription,91264.11,1,Medium,Data Volume
Transition Collaborative Technologies - SaaS Evaluation,Prospecting,25389,2026-05-04,Partner Referral,New SaaS pipeline from APAC digital teams.,23,23,SaaS New Logo,Inbound,None,Subscription,19996.54,2,Low,Pipeline Count
Drive Vertical Partnerships - SaaS Evaluation,Prospecting,85918,2026-04-20,Partner Referral,New SaaS pipeline from APAC digital teams.,13,24,SaaS New Logo,Inbound,None,Subscription,81974.85,2,Low,Pipeline Count
Redefine Collaborative Vortals - SaaS Evaluation,Prospecting,103294,2026-08-30,Web,New SaaS pipeline from APAC digital teams.,29,25,SaaS New Logo,Outbound,None,Subscription,105451.31,4,Medium,Hybrid Usage
Transform Rich Communities - SaaS Evaluation,Prospecting,117489,2026-07-23,Partner Referral,New SaaS pipeline from APAC digital teams.,33,26,SaaS New Logo,Inbound,None,Subscription,98058.68,1,Medium,Pipeline Count
Integrate Back-End Solutions - SaaS Evaluation,Prospecting,45424,2026-09-21,Web,New SaaS pipeline from APAC digital teams.,21,27,SaaS New Logo,Outbound,None,Subscription,49312.20,3,Low,Metadata Scale
Architect Granular Info-Mediaries - SaaS Evaluation,Prospecting,45282,2026-04-17,Partner Referral,New SaaS pipeline from APAC digital teams.,32,28,SaaS New Logo,Outbound,None,Subscription,32118.38,1,Low,Pipeline Count
Incentivize Proactive Metrics - SaaS Evaluation,Prospecting,92039,2026-05-17,Web,New SaaS pipeline from APAC digital teams.,19,29,SaaS New Logo,Partner-led,None,Subscription,97012.78,4,Medium,Data Volume
Evolve Virtual Applications - SaaS Evaluation,Prospecting,13424,2026-06-26,Other,New SaaS pipeline from APAC digital teams.,10,30,SaaS New Logo,Outbound,None,Subscription,12712.76,3,Low,Metadata Scale
Implement Intuitive Roi - SaaS Evaluation,Prospecting,45100,2026-07-04,Web,New SaaS pipeline from APAC digital teams.,19,31,SaaS New Logo,Outbound,None,Subscription,34185.10,3,Low,Hybrid Usage
Deploy Seamless Interfaces - SaaS Evaluation,Prospecting,107295,2026-06-07,Web,New SaaS pipeline from APAC digital teams.,16,32,SaaS New Logo,Outbound,None,Subscription,123293.74,4,Medium,Hybrid Usage
Engage Vertical Partnerships - SaaS Evaluation,Prospecting,17981,2026-08-27,Other,New SaaS pipeline from APAC digital teams.,31,33,SaaS New Logo,Outbound,None,Subscription,19966.12,2,Low,Metadata Scale
Generate World-Class Niches - SaaS Evaluation,Prospecting,28181,2026-09-07,Web,New SaaS pipeline from APAC digital teams.,36,34,SaaS New Logo,Inbound,None,Subscription,21379.43,2,Low,Metadata Scale
Leverage E-Business Communities - SaaS Evaluation,Prospecting,119885,2026-09-04,Other,New SaaS pipeline from APAC digital teams.,30,35,SaaS New Logo,Partner-led,None,Subscription,120401.13,1,Medium,Hybrid Usage
E-Enable Cross-Platform Mindshare - SaaS Evaluation,Prospecting,135274,2026-03-24,Other,New SaaS pipeline from APAC digital teams.,27,36,SaaS New Logo,Partner-led,None,Subscription,103038.94,3,Medium,Data Volume
Enhance 24/7 Applications - SaaS Evaluation,Prospecting,54903,2026-09-23,Web,New SaaS pipeline from APAC digital teams.,16,37,SaaS New Logo,Outbound,None,Subscription,39228.90,4,Low,Metadata Scale
Integrate Customized E-Commerce - SaaS Evaluation,Prospecting,23873,2026-07-06,Web,New SaaS pipeline from APAC digital teams.,1,38,SaaS New Logo,Outbound,None,Subscription,26545.17,3,Low,Data Volume
Architect Web-Enabled Deliverables - SaaS Evaluation,Prospecting,20650,2026-03-25,Web,New SaaS pipeline from APAC digital teams.,25,39,SaaS New Logo,Outbound,None,Subscription,20524.88,1,Low,Hybrid Usage
Engineer Best-Of-Breed Interfaces - SaaS Evaluation,Prospecting,114736,2026-03-25,Partner Referral,New SaaS pipeline from APAC digital teams.,6,40,SaaS New Logo,Partner-led,None,Subscription,101515.15,2,Medium,Metadata Scale
Leverage World-Class Mindshare - SaaS Evaluation,Prospecting,23366,2026-03-20,Other,New SaaS pipeline from APAC digital teams.,36,41,SaaS New Logo,Inbound,None,Subscription,24149.10,2,Low,Hybrid Usage
Benchmark Integrated E-Business - SaaS Evaluation,Prospecting,90919,2026-08-29,Partner Referral,New SaaS pipeline from APAC digital teams.,16,42,SaaS New Logo,Partner-led,None,Subscription,94754.05,4,Medium,Metadata Scale
Transition Wireless Networks - SaaS Evaluation,Prospecting,116815,2026-03-20,Web,New SaaS pipeline from APAC digital teams.,23,43,SaaS New Logo,Outbound,None,Subscription,96972.75,1,Medium,Metadata Scale
Iterate Value-Added Channels - SaaS Evaluation,Prospecting,90481,2026-07-12,Partner Referral,New SaaS pipeline from APAC digital teams.,2,44,SaaS New Logo,Outbound,None,Subscription,84742.65,4,Medium,Metadata Scale
Transform Enterprise Methodologies - SaaS Evaluation,Prospecting,82362,2026-04-01,Partner Referral,New SaaS pipeline from APAC digital teams.,6,45,SaaS New Logo,Outbound,None,Subscription,87979.89,4,Low,Pipeline Count
Deliver Visionary Mindshare - SaaS Qualification,Qualification,100789,2026-05-23,Purchased List,Qualified SaaS demand for observability and governance.,33,46,SaaS New Logo,Partner-led,None,Subscription,76547.59,2,Medium,Hybrid Usage
Transition Proactive Deliverables - SaaS Qualification,Qualification,45793,2026-05-08,Web,Qualified SaaS demand for observability and governance.,4,47,SaaS New Logo,Inbound,None,Subscription,52396.86,3,Low,Hybrid Usage
Expedite Plug-And-Play Action-Items - SaaS Qualification,Qualification,80741,2026-07-09,Web,Qualified SaaS demand for observability and governance.,34,48,SaaS New Logo,Partner-led,None,Subscription,70143.62,2,Low,Metadata Scale
Synthesize Ubiquitous Networks - SaaS Qualification,Qualification,52390,2026-06-17,Web,Qualified SaaS demand for observability and governance.,20,49,SaaS New Logo,Inbound,None,Subscription,42881.74,2,Low,Data Volume
Enable 24/365 Web Services - SaaS Qualification,Qualification,89446,2026-08-15,Purchased List,Qualified SaaS demand for observability and governance.,27,50,SaaS New Logo,Inbound,None,Subscription,102601.94,1,Low,Hybrid Usage
Mesh Impactful Initiatives - SaaS Qualification,Qualification,47989,2026-05-19,Web,Qualified SaaS demand for observability and governance.,14,51,SaaS New Logo,Outbound,None,Subscription,35140.04,3,Low,Data Volume
Brand Customized Platforms - SaaS Qualification,Qualification,161743,2026-07-27,Purchased List,Qualified SaaS demand for observability and governance.,13,52,SaaS New Logo,Outbound,None,Subscription,144385.87,4,Medium,Data Volume
Exploit Bricks-And-Clicks Convergence - SaaS Qualification,Qualification,115964,2026-06-22,Purchased List,Qualified SaaS demand for observability and governance.,32,53,SaaS New Logo,Inbound,None,Subscription,99303.93,2,Medium,Metadata Scale
Transform Value-Added Bandwidth - SaaS Qualification,Qualification,163809,2026-07-28,Partner Referral,Qualified SaaS demand for observability and governance.,7,54,SaaS New Logo,Partner-led,None,Subscription,179580.96,2,Medium,Metadata Scale
Transform Back-End Applications - SaaS Qualification,Qualification,83582,2026-04-22,Partner Referral,Qualified SaaS demand for observability and governance.,3,55,SaaS New Logo,Inbound,None,Subscription,87703.22,3,Low,Pipeline Count
Optimize Revolutionary Eyeballs - SaaS Qualification,Qualification,36914,2026-07-23,Purchased List,Qualified SaaS demand for observability and governance.,20,56,SaaS New Logo,Outbound,None,Subscription,33176.75,1,Low,Data Volume
Incentivize Back-End Web Services - SaaS Qualification,Qualification,50730,2026-06-26,Web,Qualified SaaS demand for observability and governance.,10,57,SaaS New Logo,Outbound,None,Subscription,37340.41,4,Low,Pipeline Count
Envisioneer Rich Methodologies - SaaS Qualification,Qualification,73056,2026-06-28,Web,Qualified SaaS demand for observability and governance.,20,58,SaaS New Logo,Partner-led,None,Subscription,63728.69,2,Low,Metadata Scale
Streamline Killer Networks - SaaS Qualification,Qualification,102031,2026-04-10,Partner Referral,Qualified SaaS demand for observability and governance.,24,59,SaaS New Logo,Partner-led,None,Subscription,104503.35,4,Medium,Hybrid Usage
Incubate Dot-Com Info-Mediaries - SaaS Qualification,Qualification,120145,2026-08-16,Purchased List,Qualified SaaS demand for observability and governance.,14,60,SaaS New Logo,Outbound,None,Subscription,86325.69,3,Medium,Hybrid Usage
Facilitate Mission-Critical Users - SaaS Qualification,Qualification,53965,2026-04-30,Purchased List,Qualified SaaS demand for observability and governance.,22,61,SaaS New Logo,Outbound,None,Subscription,43366.76,4,Low,Pipeline Count
Facilitate Dot-Com Eyeballs - SaaS Qualification,Qualification,96599,2026-06-13,Partner Referral,Qualified SaaS demand for observability and governance.,25,62,SaaS New Logo,Outbound,None,Subscription,91126.32,4,Medium,Data Volume
Deploy Interactive Partnerships - SaaS Qualification,Qualification,139691,2026-07-19,Web,Qualified SaaS demand for observability and governance.,10,63,SaaS New Logo,Outbound,None,Subscription,130056.16,3,Medium,Pipeline Count
Engage Turn-Key Users - SaaS Qualification,Qualification,96855,2026-06-30,Purchased List,Qualified SaaS demand for observability and governance.,25,64,SaaS New Logo,Inbound,None,Subscription,70553.89,2,Medium,Hybrid Usage
E-Enable Scalable Communities - SaaS Qualification,Qualification,107882,2026-06-20,Web,Qualified SaaS demand for observability and governance.,3,65,SaaS New Logo,Partner-led,None,Subscription,116269.55,3,Medium,Data Volume
Evolve Synergistic Metrics - SaaS Qualification,Qualification,20864,2026-08-18,Web,Qualified SaaS demand for observability and governance.,1,66,SaaS New Logo,Partner-led,None,Subscription,18822.99,4,Low,Metadata Scale
Incentivize Web-Enabled E-Business - SaaS Qualification,Qualification,115148,2026-06-06,Partner Referral,Qualified SaaS demand for observability and governance.,23,67,SaaS New Logo,Outbound,None,Subscription,124718.80,3,Medium,Hybrid Usage
Enhance Value-Added Deliverables - SaaS Qualification,Qualification,111731,2026-03-27,Purchased List,Qualified SaaS demand for observability and governance.,28,68,SaaS New Logo,Inbound,None,Subscription,92538.14,3,Medium,Metadata Scale
Morph Out-Of-The-Box Metrics - SaaS Qualification,Qualification,148494,2026-05-15,Purchased List,Qualified SaaS demand for observability and governance.,35,69,SaaS New Logo,Outbound,None,Subscription,121020.38,2,Medium,Hybrid Usage
Re-Contextualize Value-Added Web-Readiness - SaaS Qualification,Qualification,141024,2026-03-26,Partner Referral,Qualified SaaS demand for observability and governance.,8,70,SaaS New Logo,Inbound,None,Subscription,156247.33,1,Medium,Data Volume
Re-Contextualize Ubiquitous Info-Mediaries - SaaS Qualification,Qualification,101367,2026-07-13,Purchased List,Qualified SaaS demand for observability and governance.,7,71,SaaS New Logo,Inbound,None,Subscription,112695.09,4,Medium,Data Volume
Deploy Next-Generation E-Markets - SaaS Qualification,Qualification,57031,2026-08-09,Web,Qualified SaaS demand for observability and governance.,35,72,SaaS New Logo,Inbound,None,Subscription,59837.11,3,Low,Data Volume
Implement Cross-Media Web Services - SaaS Qualification,Qualification,144143,2026-03-28,Purchased List,Qualified SaaS demand for observability and governance.,11,73,SaaS New Logo,Inbound,None,Subscription,103894.46,3,Medium,Data Volume
Envisioneer Plug-And-Play Synergies - SaaS Qualification,Qualification,143557,2026-05-12,Partner Referral,Qualified SaaS demand for observability and governance.,15,74,SaaS New Logo,Partner-led,None,Subscription,150915.48,3,Medium,Pipeline Count
Transition Turn-Key Portals - SaaS Qualification,Qualification,153693,2026-04-09,Partner Referral,Qualified SaaS demand for observability and governance.,12,75,SaaS New Logo,Inbound,None,Subscription,174123.07,4,Medium,Hybrid Usage
Whiteboard Intuitive Applications - SaaS Qualification,Qualification,129543,2026-07-17,Web,Qualified SaaS demand for observability and governance.,19,76,SaaS New Logo,Outbound,None,Subscription,96507.10,4,Medium,Metadata Scale
Deliver Wireless Users - SaaS Qualification,Qualification,127130,2026-06-25,Purchased List,Qualified SaaS demand for observability and governance.,7,77,SaaS New Logo,Partner-led,None,Subscription,141383.93,4,Medium,Hybrid Usage
Iterate Real-Time Mindshare - SaaS Qualification,Qualification,145688,2026-08-02,Partner Referral,Qualified SaaS demand for observability and governance.,9,78,SaaS New Logo,Partner-led,None,Subscription,107156.87,1,Medium,Data Volume
Integrate Dynamic Paradigms - SaaS Qualification,Qualification,72958,2026-06-06,Purchased List,Qualified SaaS demand for observability and governance.,8,79,SaaS New Logo,Outbound,None,Subscription,82773.00,2,Low,Data Volume
Target End-To-End Schemas - SaaS Qualification,Qualification,112339,2026-04-05,Web,Qualified SaaS demand for observability and governance.,27,80,SaaS New Logo,Outbound,None,Subscription,115831.55,3,Medium,Hybrid Usage
Repurpose Integrated Content - SaaS Qualification,Qualification,35150,2026-05-13,Purchased List,Qualified SaaS demand for observability and governance.,34,81,SaaS New Logo,Partner-led,None,Subscription,30496.73,1,Low,Metadata Scale
Drive Back-End Initiatives - SaaS Qualification,Qualification,109916,2026-08-10,Partner Referral,Qualified SaaS demand for observability and governance.,8,82,SaaS New Logo,Inbound,None,Subscription,94737.79,3,Medium,Hybrid Usage
Incubate Real-Time Applications - SaaS Qualification,Qualification,64734,2026-05-31,Partner Referral,Qualified SaaS demand for observability and governance.,6,83,SaaS New Logo,Partner-led,None,Subscription,58037.18,4,Low,Metadata Scale
Embrace Seamless Info-Mediaries - SaaS Qualification,Qualification,114302,2026-07-26,Partner Referral,Qualified SaaS demand for observability and governance.,6,84,SaaS New Logo,Outbound,None,Subscription,83911.64,3,Medium,Hybrid Usage
Grow Synergistic Info-Mediaries - SaaS Qualification,Qualification,153013,2026-06-28,Web,Qualified SaaS demand for observability and governance.,28,85,SaaS New Logo,Outbound,None,Subscription,162281.42,2,Medium,Pipeline Count
Brand Rich Experiences - SaaS Solution Design,Needs Analysis,209614,2026-06-08,Web,SaaS needs analysis for data platform monitoring and catalog.,3,86,SaaS New Logo,Partner-led,None,Subscription,210057.80,3,Medium,Metadata Scale
Redefine Cutting-Edge Platforms - SaaS Solution Design,Needs Analysis,184935,2026-07-09,Web,SaaS needs analysis for data platform monitoring and catalog.,34,87,SaaS New Logo,Outbound,None,Subscription,202455.54,3,Medium,Data Volume
Benchmark Next-Generation Info-Mediaries - SaaS Solution Design,Needs Analysis,30986,2026-04-22,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,17,88,SaaS New Logo,Partner-led,None,Subscription,33556.11,4,Low,Hybrid Usage
Facilitate Killer Solutions - SaaS Solution Design,Needs Analysis,45457,2026-03-23,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,31,89,SaaS New Logo,Partner-led,None,Subscription,38787.44,1,Low,Data Volume
Facilitate Compelling Methodologies - SaaS Solution Design,Needs Analysis,22532,2026-06-20,Web,SaaS needs analysis for data platform monitoring and catalog.,32,90,SaaS New Logo,Partner-led,None,Subscription,18903.71,2,Low,Pipeline Count
Strategize Back-End Paradigms - SaaS Solution Design,Needs Analysis,120454,2026-06-24,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,20,91,SaaS New Logo,Inbound,None,Subscription,114440.67,4,Medium,Metadata Scale
Mesh Real-Time E-Services - SaaS Solution Design,Needs Analysis,148134,2026-05-25,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,23,92,SaaS New Logo,Inbound,None,Subscription,108087.23,2,Medium,Data Volume
Synergize Frictionless Experiences - SaaS Solution Design,Needs Analysis,39266,2026-04-11,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,8,93,SaaS New Logo,Inbound,None,Subscription,41186.91,3,Low,Hybrid Usage
Grow Bricks-And-Clicks Technologies - SaaS Solution Design,Needs Analysis,50587,2026-07-16,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,5,94,SaaS New Logo,Partner-led,None,Subscription,51624.76,2,Low,Pipeline Count
Harness Frictionless Channels - SaaS Solution Design,Needs Analysis,70522,2026-07-07,Web,SaaS needs analysis for data platform monitoring and catalog.,2,95,SaaS New Logo,Outbound,None,Subscription,65627.55,3,Low,Metadata Scale
Deploy Bricks-And-Clicks Systems - SaaS Solution Design,Needs Analysis,67179,2026-06-06,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,3,96,SaaS New Logo,Inbound,None,Subscription,50952.95,4,Low,Metadata Scale
Synthesize Robust Synergies - SaaS Solution Design,Needs Analysis,94860,2026-05-24,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,5,97,SaaS New Logo,Inbound,None,Subscription,74573.34,3,Medium,Pipeline Count
Utilize Innovative E-Markets - SaaS Solution Design,Needs Analysis,152727,2026-04-03,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,16,98,SaaS New Logo,Inbound,None,Subscription,170401.17,4,Medium,Metadata Scale
E-Enable Mission-Critical Functionalities - SaaS Solution Design,Needs Analysis,116013,2026-05-25,Web,SaaS needs analysis for data platform monitoring and catalog.,34,99,SaaS New Logo,Inbound,None,Subscription,90724.44,3,Medium,Pipeline Count
Disintermediate 24/365 Portals - SaaS Solution Design,Needs Analysis,116297,2026-06-08,Web,SaaS needs analysis for data platform monitoring and catalog.,28,100,SaaS New Logo,Outbound,None,Subscription,82166.68,4,Medium,Data Volume
Optimize Viral Mindshare - SaaS Solution Design,Needs Analysis,45752,2026-05-03,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,32,101,SaaS New Logo,Inbound,None,Subscription,45383.82,4,Low,Pipeline Count
Grow Holistic E-Business - SaaS Solution Design,Needs Analysis,188771,2026-06-30,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,32,102,SaaS New Logo,Outbound,None,Subscription,185295.48,4,Medium,Hybrid Usage
Grow Rich Systems - SaaS Solution Design,Needs Analysis,209707,2026-03-22,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,17,103,SaaS New Logo,Partner-led,None,Subscription,217691.57,4,Medium,Pipeline Count
Redefine Extensible Relationships - SaaS Solution Design,Needs Analysis,28898,2026-04-04,Web,SaaS needs analysis for data platform monitoring and catalog.,28,104,SaaS New Logo,Outbound,None,Subscription,30153.83,2,Low,Metadata Scale
Productize Scalable Web Services - SaaS Solution Design,Needs Analysis,216447,2026-06-02,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,33,105,SaaS New Logo,Inbound,None,Subscription,242369.69,1,Medium,Pipeline Count
Mesh Turn-Key Platforms - SaaS Solution Design,Needs Analysis,194725,2026-07-03,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,10,106,SaaS New Logo,Partner-led,None,Subscription,197247.48,4,Medium,Pipeline Count
Utilize World-Class Systems - SaaS Solution Design,Needs Analysis,68638,2026-05-08,Partner Referral,SaaS needs analysis for data platform monitoring and catalog.,25,107,SaaS New Logo,Outbound,None,Subscription,67854.64,1,Low,Data Volume
Productize Wireless E-Services - SaaS Solution Design,Needs Analysis,72541,2026-05-02,Web,SaaS needs analysis for data platform monitoring and catalog.,1,108,SaaS New Logo,Partner-led,None,Subscription,78880.98,3,Low,Data Volume
Empower Web-Enabled Vortals - SaaS Solution Design,Needs Analysis,164416,2026-04-02,Web,SaaS needs analysis for data platform monitoring and catalog.,9,109,SaaS New Logo,Partner-led,None,Subscription,148095.56,2,Medium,Data Volume
Revolutionize Enterprise Communities - SaaS Solution Design,Needs Analysis,61621,2026-04-21,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,28,110,SaaS New Logo,Outbound,None,Subscription,58377.63,2,Low,Metadata Scale
Architect Viral Niches - SaaS Solution Design,Needs Analysis,125266,2026-06-04,Web,SaaS needs analysis for data platform monitoring and catalog.,16,111,SaaS New Logo,Outbound,None,Subscription,126685.51,2,Medium,Data Volume
Utilize Cutting-Edge Info-Mediaries - SaaS Solution Design,Needs Analysis,132961,2026-05-18,Web,SaaS needs analysis for data platform monitoring and catalog.,25,112,SaaS New Logo,Partner-led,None,Subscription,138666.99,4,Medium,Pipeline Count
Target Vertical Bandwidth - SaaS Solution Design,Needs Analysis,84251,2026-04-15,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,4,113,SaaS New Logo,Partner-led,None,Subscription,67665.25,1,Low,Metadata Scale
Enable Ubiquitous Action-Items - SaaS Solution Design,Needs Analysis,208017,2026-05-18,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,4,114,SaaS New Logo,Inbound,None,Subscription,227976.18,3,Medium,Metadata Scale
Drive Leading-Edge Interfaces - SaaS Solution Design,Needs Analysis,42989,2026-03-22,Phone Inquiry,SaaS needs analysis for data platform monitoring and catalog.,19,115,SaaS New Logo,Inbound,None,Subscription,44024.73,2,Low,Metadata Scale
Target Bleeding-Edge Web-Readiness - SaaS Business Case,Value Proposition,223167,2026-05-17,Other,Value articulation for APAC SaaS deployment.,8,116,SaaS New Logo,Outbound,None,Subscription,191857.53,4,Medium,Hybrid Usage
Evolve Intuitive Relationships - SaaS Business Case,Value Proposition,56382,2026-03-25,Other,Value articulation for APAC SaaS deployment.,20,117,SaaS New Logo,Outbound,None,Subscription,53093.35,3,Low,Metadata Scale
Deploy Global Markets - SaaS Business Case,Value Proposition,146251,2026-06-05,Partner Referral,Value articulation for APAC SaaS deployment.,24,118,SaaS New Logo,Inbound,None,Subscription,120459.56,3,Medium,Pipeline Count
Integrate Efficient E-Business - SaaS Business Case,Value Proposition,158981,2026-05-07,Partner Referral,Value articulation for APAC SaaS deployment.,10,119,SaaS New Logo,Outbound,None,Subscription,145217.16,3,Medium,Data Volume
Re-Contextualize Front-End Initiatives - SaaS Business Case,Value Proposition,256933,2026-06-12,Partner Referral,Value articulation for APAC SaaS deployment.,9,120,SaaS New Logo,Outbound,None,Subscription,229011.27,4,High,Data Volume
Productize B2C Technologies - SaaS Business Case,Value Proposition,148485,2026-05-02,Partner Referral,Value articulation for APAC SaaS deployment.,11,121,SaaS New Logo,Inbound,None,Subscription,104119.52,1,Medium,Pipeline Count
Seize Granular Bandwidth - SaaS Business Case,Value Proposition,202457,2026-06-17,Web,Value articulation for APAC SaaS deployment.,5,122,SaaS New Logo,Outbound,None,Subscription,221668.87,4,Medium,Metadata Scale
Redefine Synergistic Portals - SaaS Business Case,Value Proposition,32316,2026-04-22,Web,Value articulation for APAC SaaS deployment.,24,123,SaaS New Logo,Outbound,None,Subscription,25653.42,2,Low,Metadata Scale
Disintermediate E-Business Paradigms - SaaS Business Case,Value Proposition,214739,2026-06-23,Web,Value articulation for APAC SaaS deployment.,8,124,SaaS New Logo,Partner-led,None,Subscription,187802.33,1,Medium,Hybrid Usage
Redefine Granular Roi - SaaS Business Case,Value Proposition,243876,2026-04-21,Other,Value articulation for APAC SaaS deployment.,26,125,SaaS New Logo,Partner-led,None,Subscription,171040.72,3,Medium,Pipeline Count
Whiteboard Out-Of-The-Box Infrastructures - SaaS Business Case,Value Proposition,80338,2026-04-25,Partner Referral,Value articulation for APAC SaaS deployment.,10,126,SaaS New Logo,Partner-led,None,Subscription,91494.00,1,Low,Hybrid Usage
